canon_name,uberid
Anonemous2,15749402001593074885
ematarkus,3429006449258398706
Sundance63,14058329051163695342
Jacques (6),12199842047537460021
theiban,2621322893737898332
Corgi,11798407824609655987
BluTooth,15995634925244553608
TheEffectTheCause,11781759340466683580
kisaragi,14745201806759644385
Dartmars,11982563662366963306
Jekkel,2673811645994578951
ImmortalLegend,4929023156364499954
Witt,13503699787959497879
Quality Housewife,1558737641485143584
johndotsun,12614593982386057381
Taiga,6639589090096276728
Nik,15609910118936901813
TheTitan01,4553019776793912833
Clopse,9017409233449785568
Broom,15132780807979906671
Dreadnought,11830250511764976743
Scolyar,10166400640798416329
Sinoccence,18030470000206645310
Ferretmaster,651820510498465564
KillerKiwiJuice,16361258223423763047
billthebluebot,13529427931658771700
Somppe,16679307753503030636
nimzo,15480553480394300430
Academia,14274858178143957856
NutFather,17349811535060105051
Crad0r,10444680779397685862
Zyroo,1334896172832291141
blazingTortoise,11879995057939110456
AlwaysPrime,11384262998789557607
Spartako,13034437976847659783
Ptasior,5891462527453393017
peanutbutter,16259338793932683861
Magna0pera,9242733100989636471
frahje,18398849247327854142
N30N,11710306920402487438
AndreasG,14430282979781851477
Wombat,15773128513048972331
Pa!n,18224397291231807305
CYB3RKIL,172793631882245476
Reynald,3662048256008121731
ill behaviour,15629263146743971192
Awassa,11866381054494070770
xAlienxPR,684500440454974208
Jamiebear,17822066106468766184
TheSuccMaster,14279702178827514799
B3L4L,6382972159893067489
gcrestan,5378302822176997124
Princess Fox,3731170899267381111
Grenadier,3336826937816724822
Doso,4898746934254771031
B13,7334180690992222297
Gitaxian,9551933180340784544
wpmarshall,13005412061495656253
Cuyto,234707396568411571
Antrex,5466831240947387405
NneaowwPlane,8263783075761386193
OldRustBuckets,16119888779071375363
Viroo,11314403746646385988
meta123,8251154291417754580
uber.monk,17247333754581359517
Big Mac,3935970410844290561
Options,9491407056878977471
Mr.Shawl,14776474084709282132
MaréchalGryzzly,11273910827636532606
Oke,10328666479413014042
DeadJohnny,906673733471564798
084,14335750022301206484
AdmiralGeneral,4379012099145338969
RagePasTesNul,16638614545092992945
Inori<3,5819927016007222638
Celestial Deed,17387587538064216240
muhr,9537116952122310688
Mockerbird,2297556514650472689
Kingler,7967414936275846041
flanker117,12669442591962653380
thecamper (1),6865887803699501629
Golddy,2266830463151951438
muddy,5882552005915947045
d33pTriP,11367486185262893620
McLary,1939009756656989660
twodogsshagging,11291954284911218460
erikejf,8110251372778657137
mf413,1592870487288981647
jerle,8661363886733018005
Puskilla,8115987389690876170
Xerius,1634923513050323426
isii,16160058122086559848
Kontroverser,4757726476411041552
mikeylol,8990968689660889540
Oomori,3712601681726742648
Sizer,16051534126186676948
DeStRuC,4243754269271941127
Vermin,15109118772523361527
Cross Forth,13277343646925264465
Atmosphic,403055661156110665
spongemeboob,13350265784233999216
Tigers Go Roar,4336667811805373163
Salt001,16959836579587988555
Veracious,3909942040318680984
PA,11645841862719527512
River,5844644094771505013
BlueNebulaRandy,2403544688368494093
BOIYOUSAYWAHT,13264031027515722432
Tagada,3321652829039767169
EllenTäydellinen,4811644894591570483
CommanderX,17069089094728389553
Mikoo,4226474770865272135
fjf,8710695788823644673
cwedin78,16030302765541687724
Sakhado,5028948689582465603
nb3,17850344826241365438
LmalukoBR,327118409113339002
Bot 1,4014737893745176725
Quildtide,8665259548474200874
mikeyh,15902732904735349906
NeoValence,2612617597594124690
Pako,14945151027249120351
smurf,1584666650168547141
Hiturunk,6373075552449916098
Seb_202,10113344869093820904
waidhofer,17167716876344298367
spin_amadeus,12461239959398367877